date,Price,open_usd,high_usd,low_usd,Vol.,change_pct,price_usd,volume,price_inr_per_g,open_inr_per_g,high_inr_per_g,low_inr_per_g,price_inr_per_g_lag_1,volume_lag_1,price_inr_per_g_lag_2,volume_lag_2,price_inr_per_g_lag_3,volume_lag_3,ma_3,ma_7,ma_14,std_7,return_pct,day_of_week,month
2013-01-10,,21.7,21.97,20.63,,0.0,21.175,50838.0,56.84609449097368,58.25550179240278,58.98033983313775,55.38299548282348,56.84609449097368,50838.0,56.84609449097368,50838.0,56.84609449097368,50838.0,56.84609449097368,56.84609449097368,56.84609449097368,0.0,0.0,3.0,1.0
2013-01-11,,21.895,21.995,21.705,,0.0,21.837,34530.0,58.623289983442376,58.7789959329336,59.047454466539136,58.26892471908305,56.84609449097368,50838.0,56.84609449097368,50838.0,56.84609449097368,50838.0,57.73469223720802,57.73469223720802,57.73469223720802,1.2566669842187856,3.1263282172373286,4.0,1.0
2013-02-09,,23.513,23.513,23.513,,0.0,23.513,53604.0,63.12265500667128,63.12265500667128,63.12265500667128,63.12265500667128,58.623289983442376,34530.0,56.84609449097368,50838.0,56.84609449097368,50838.0,59.53067982702911,59.53067982702911,59.53067982702911,3.235169272694525,7.675046938682062,5.0,2.0
2013-02-10,,21.897,21.897,21.897,,0.0,21.897,53604.0,58.784365103605694,58.784365103605694,58.784365103605694,58.784365103605694,63.12265500667128,53604.0,58.623289983442376,34530.0,56.84609449097368,50838.0,60.17677003123978,59.34410114617326,59.34410114617326,2.6677318515780764,-6.872793773657149,6.0,2.0
2013-02-12,,19.99,20.01,19.115,,0.0,19.289,45489.0,51.78296654717315,53.664860867748,53.71855257446912,51.315848698699504,58.784365103605694,53604.0,63.12265500667128,53604.0,58.623289983442376,34530.0,57.896662219150045,57.83187422637324,57.83187422637324,4.095332246446244,-11.910307348038518,1.0,2.0
2013-03-09,,24.365,24.429,24.429,,0.0,24.429,53604.0,65.58173517449804,65.4099217129905,65.58173517449804,65.58173517449804,51.78296654717315,45489.0,58.784365103605694,53604.0,63.12265500667128,53604.0,58.71635560842562,59.12351771772737,59.12351771772737,4.8401915684785575,26.647311939447317,5.0,3.0
2013-03-10,,21.786,21.786,21.786,,0.0,21.786,53604.0,58.48637613130355,58.48637613130355,58.48637613130355,58.48637613130355,65.58173517449804,53604.0,51.78296654717315,45489.0,58.784365103605694,53604.0,58.617025950991575,59.0324974910954,59.0324974910954,4.425027847886239,-10.81910843669408,6.0,3.0
2013-03-12,,19.17,19.335,18.975,,0.0,19.065,34973.0,51.181619431896735,51.46350089218256,51.9064574726317,50.940006751651744,58.48637613130355,53604.0,65.58173517449804,53604.0,51.78296654717315,45489.0,58.41657691256611,58.22328676837012,58.05113773369556,5.319107114802618,-12.489672266593221,1.0,3.0
2013-04-09,,24.325,24.43,23.375,,0.0,23.415,44700.0,62.85956564373784,65.30253829954829,65.5844197598341,62.75218223029562,51.181619431896735,34973.0,58.48637613130355,53604.0,65.58173517449804,53604.0,57.50918706897937,58.82846900555518,58.585407501478045,5.605484865277721,22.816679779701012,1.0,4.0
2013-04-10,,21.735,21.93,21.5,,0.0,21.752,21638.0,58.39510022987766,58.34946227916472,58.872956419695534,57.7185847251917,62.85956564373784,44700.0,51.181619431896735,34973.0,58.48637613130355,53604.0,57.47876176850408,58.153104037441814,58.566376774317995,5.277052738849798,-7.102284860132391,2.0,4.0
